source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
Live Heats,187562,353289,Women,Round 1 Seeding,0,2078513,1,3.0,4.0,,,3,3,2,2.0
Live Heats,187562,353289,Women,Semi Final,1,2079106,1,2.0,3.0,,,2,3,2,2.5
Live Heats,187562,353289,Women,Round 1 Seeding,0,2078514,2,3.0,4.0,,,3,3,3,3.0
Live Heats,187562,353290,Men,Round 1 Challengers,0,2078635,0,2.0,3.0,,,2,6,1,3.0
Live Heats,187562,353290,Men,Round 2 Challenger Final,1,2078637,0,2.0,3.0,,,1,6,1,3.5
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078638,0,2.0,4.0,2.0,3.0,6,6,1,1.0
Live Heats,187562,353290,Men,Round 4 Redemption,3,2078644,0,1.0,2.0,,,4,6,1,2.0
Live Heats,187562,353290,Men,Quarter-Final,4,2078648,0,2.0,3.0,,,4,6,1,2.0
Live Heats,187562,353290,Men,Semi-Final,5,2078652,0,2.0,3.0,,,2,6,1,3.0
Live Heats,187562,353290,Men,Final,6,2078654,0,0.0,1.0,,,1,6,1,3.5
Live Heats,187562,353290,Men,Round 1 Challengers,0,2078636,1,2.0,3.0,,,2,6,2,4.0
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078639,1,2.0,4.0,2.0,3.0,6,6,2,2.0
Live Heats,187562,353290,Men,Round 4 Redemption,3,2078645,1,1.0,2.0,,,4,6,2,3.0
Live Heats,187562,353290,Men,Quarter-Final,4,2078649,1,2.0,3.0,,,4,6,2,3.0
Live Heats,187562,353290,Men,Semi-Final,5,2078653,1,2.0,3.0,,,2,6,2,4.0
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078640,2,2.0,4.0,2.0,3.0,6,6,3,3.0
Live Heats,187562,353290,Men,Round 4 Redemption,3,2078646,2,1.0,2.0,,,4,6,3,4.0
Live Heats,187562,353290,Men,Quarter-Final,4,2078650,2,2.0,3.0,,,4,6,3,4.0
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078641,3,2.0,4.0,2.0,3.0,6,6,4,4.0
Live Heats,187562,353290,Men,Round 4 Redemption,3,2078647,3,1.0,2.0,,,4,6,4,5.0
Live Heats,187562,353290,Men,Quarter-Final,4,2078651,3,2.0,3.0,,,4,6,4,5.0
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078642,4,2.0,4.0,2.0,3.0,6,6,5,5.0
Live Heats,187562,353290,Men,Round 3 Seeding,2,2078643,5,2.0,4.0,2.0,3.0,6,6,6,6.0
