name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Brian Talma,60.0,Barbadian ,KBA-8,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=79&cHash=97ac4ae84464f42d9aec29588039b8c8,"Naish Boards, Naish Sails",1965.0
Wearn Haw Tan,,Singaporean ,SGP-1,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2056&cHash=4a5c9026b5b263e52a125f1ef88caa09,,
Tan Tandogan,17.0,Turkish ,TUR-715,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2151&cHash=34ea65fe56387ce6970f9e0745a2d816,"Starboard, Duotone",2008.0
Zeno Tarlao,,Italian ,ITA-7355,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1949&cHash=654ffcbde87167bed69ef3ad8cbbee22,,
Yuka Tasaka,,Japanese ,J-8,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2070&cHash=ee9706c639871a52dd2fbd4884ee158c,,
Daniel Tashtash,,Israeli ,ISR-930,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1960&cHash=fa3977aac9154cddeaab2430ab7f6a43,,
Keith Teboul,53.0,American ,US-60,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=272&cHash=1068c67f814041c5ed4addcfa6cdb190,"Quatro International, Goya Windsurfing, MFC, Pat Love, AMEX",1972.0
Erik Telser,,German ,GER-148,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1970&cHash=68fafb24512c9aa49a7a7fa44e596078,"Starboard, NeilPryde, F4 Foils, MS Fins",
Martin ten Hoeve,44.0,Dutch ,H-999,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=792&cHash=22d709d68a6c24b4fa272975aa97a6b2,"Flikka, Tribal Windsurfing, K4 Fins, Acernum & V Someren Consultancy",1981.0
Robert Teriitehau,58.0,French ,F-2000,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=38&cHash=f582d0aa3d3d21ca329bd30a97db06dd,"RRD, NeilPryde, Perles de Tahiti, TERII, Quiksilver",1967.0
Jacopo Testa,33.0,Italian ,ITA-261,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1355&cHash=ac951fd5f127e1247b145b54d1220002,"WeOne, Point 7, Danilo Lanteri Fins, AL360, Jungle Surf Shop",1992.0
Matteo Testa,29.0,Italian ,ITA-156,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1620&cHash=b98215b2d6986bfcbdc4127033db728d,"F2, LSD Fins",1996.0
Jimmy Thieme,25.0,French ,F-888,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1604&cHash=e3a43fcb8c2a58503ebb43a4526642b9,"Patrik Boards, Patrik Sails, ION",2000.0
Kiri Thode,35.0,Dutch ,NB-61,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=610&cHash=d5d51659af44c873dc53bc8bca4e5584,"WeOne, GUNSAILS, Dakine",1990.0
Simon Thule,23.0,Danish ,DEN-134,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2010&cHash=1f8c9fe3668a3ee6b8ffc894fa2ea38f,"Patrik Boards, Patrik Sails, Brunotti Sportswear",2002.0
Jonas Thyme,24.0,Danish ,DEN-171,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1739&cHash=eae979bcbebf6cc01a221c440a195089,"Starboard, Severne Windsurfing, Lakor Soulwear, Starboard Foil",2001.0
Shacar Tibi,,Israeli ,ISR-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2064&cHash=34851211a3fed367f19ba3b907c32d3c,Future Fly Boards,
Benjamin Tillier,,New Caledonian ,FRA-39,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1221&cHash=e1a5de1abf571744391bd7e94d4a6eb7,GUNSAILS,
Makoto Tomizawa,,Japanese ,JPN-11,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2048&cHash=246075fb28f1bc4b3844e6f287f1670a,,
Melek Toraman,52.0,Turkish ,TUR-115,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=946&cHash=6223c7941adb87867e2205c6ea34266a,"Starboard, Loftsails, Şenocak-Derin Dondurucu",1973.0
Zohar Torfstein,20.0,Israeli ,ISR-14,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2127&cHash=7c05505e44c64d71e4c1b3c4ca9f822f,,2005.0
Pascal Toselli,,French ,F-916,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=703&cHash=615a3787252a1acd971063bc1da683ed,"JP, Loftsails, Chopper Fins, Starboard Foil",
Oliver Townsend,30.0,British ,K-936,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1807&cHash=3e209223e6706ff6e5332bfb91cdf1dd,"Dakine, Club Vass, Boardwise",1995.0
Thomas Traversa,39.0,French ,F-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=537&cHash=38288a530d3d6c2c2877da42531037ff,"Tabou Boards, GA Sails, Sooruz, All-in Sport Beach Company",1986.0
Lucia Trivino Delgado,19.0,Spanish ,E-528,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2001&cHash=832db9e471a39486987517a3dd7964e4,Severne Windsurfing,2006.0
Isabel Trivino Delgado,,Spanish ,E-286,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2002&cHash=9dd71dcabcd39a15ebd9aec581feb836,"Severne Windsurfing, Severne Windsurfing",
Alexey Trusov,39.0,Russian ,RUS-218,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=912&cHash=7b99ec08831760f4bf108355722b01fe,,1986.0
Trzaskowski,,Polish ,POL-344,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1987&cHash=5a3b85eedc187b7fbcaca93c8af9cd22,"Severne Windsurfing, Severne Windsurfing",
Nimet Tulumen,36.0,Turkish ,TUR-753,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1509&cHash=473ebe7a48a8ed29afffd3c2a4e6ad1f,Tribal Windsurfing,1989.0
Isak Turesson,27.0,Swedish ,SWE-404,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1755&cHash=386fd1c60f04bf13b7c00db2e397eb0e,"Surfers Paradise, Bloomy Drinks, Handelsbanken",1998.0
Jahdan Tyger,,Brazilian ,BR-44,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2012&cHash=82ccd3d4b50aaacf1444b1e4fabba9c4,,
Maria Tzika,,Greek ,GRE-17,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2023&cHash=e2bc911d282f4d4b163f8dbad40f29cc,,
Manolo Modena Umberto,,Italian ,ita-304,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1984&cHash=62a834e4357743e8e976b52407a533d7,Point 7,
Fulya Ünlü,29.0,Turkish ,TUR-165,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1317&cHash=f41bda4699c83fb70c1c934be7b1b03a,"Starboard, Point-7, Gözpete Sport Club, Mystic",1996.0
Nazli Deniz Ürenli,25.0,Turkish ,TUR-773,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1623&cHash=193e2dee2e37e7db2ac9ba25f30227d8,Black Project Fins,2000.0
Roman Useinov,,Russian ,RUS-77,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1911&cHash=f0b885d8dd51b94b42a0c8a446be7ae6,,
Betti Vainküla,31.0,Estonian ,EST-212,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1904&cHash=9c4373e8806f451f3e84b26cb9c1ebd7,"Fanatic, GA Sails",1994.0
Annika Valkna,33.0,Estonian ,EST-14,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1396&cHash=8e8ba6a9900730b7f4d4af7149bc6406,Loftsails,1992.0
