source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,328,886,Leon Jamaer,G-208,9,4476,False
PWA,328,886,Julian Salmonn,G-21,9,4476,False
PWA,328,886,Alessio Stillrich,E-95,9,4476,False
PWA,328,886,Josep Pons,E-203,13,3645,False
PWA,328,886,Morgan Noireaux,HI-101,13,3645,False
PWA,328,886,Dieter Van der Eyken,B-35,13,3645,False
PWA,328,886,Jules Denel,FRA-41,13,3645,False
PWA,328,886,Miguel Chapuis,E-99,17,2693,False
PWA,328,886,Takuma Sugi,J-7,17,2693,False
PWA,328,886,Omar Sanchez,E-33,17,2693,False
PWA,328,886,Arthur Arutkin,F-7,17,2693,False
PWA,328,886,Antoine Albert,NC-21,17,2693,False
PWA,328,886,Antoine Martin,F-193,17,2693,False
PWA,328,886,Florian Jung,G-21,17,2693,False
PWA,328,886,Hayata Ishii,J-27,17,2693,False
PWA,328,886,José Romero,E-45,25,1784,False
PWA,328,886,Baptiste Cloarec,F-258,25,1784,False
PWA,328,886,Alexandre Grand-Guillot,F-585,25,1784,False
PWA,328,886,Loick Lesauvage,F-780,25,1784,False
PWA,328,886,Aleix Sanllehy,CAT-555,25,1784,False
PWA,328,886,Takara Ishii,J-20,25,1784,False
PWA,328,886,Michael Friedl Morales,E-255,25,1784,False
PWA,328,886,Laurin Schmuth,G-878,25,1784,False
PWA,328,886,Graham Ezzy,USA-1,33,983,False
PWA,328,886,Moritz Mauch,G-103,33,983,False
PWA,328,886,Julien Flechet,F-67,33,983,False
PWA,328,886,Lucas Meldrum,K-90,33,983,False
PWA,328,886,Tomer Shamgar,ISR-13,33,983,False
PWA,328,886,Adam Warchol,POL-111,33,983,False
PWA,328,886,Logan Groenne,B-292,33,983,False
PWA,328,886,Jahdan Tyger,BR-44,33,983,False
PWA,328,886,Titouan Flechet,F-47,33,983,False
PWA,328,886,Simon Thule,DEN-134,33,983,False
PWA,328,886,Victor Borlin,E-141,33,983,False
PWA,328,886,Antony Ruenes,F-85,33,983,False
PWA,328,886,Pablo Ramírez Bolaños,E-244,33,983,False
PWA,328,886,Henri Kolberg,G-45,33,983,False
PWA,328,886,Eleazar Alonso Sanchez,E-41,33,983,False
PWA,328,886,Tim van Dam Sanchidrian,E-51,33,983,False
PWA,328,887,Daida Ruano Moreno,E-64,1,10000,False
PWA,328,887,Iballa Ruano Moreno,E-63,2,8500,False
PWA,328,887,Sarah-Quita Offringa,ARU-91,3,7650,False
PWA,328,887,Lina Erpenstein,G-3,4,6885,False
PWA,328,887,Justyna Sniady,POL-1111,5,6370,False
PWA,328,887,Isabel Trivino Delgado,E-286,6,5930,False
PWA,328,887,Maria Morales Navarro,E-737,7,5285,False
PWA,328,887,Alexia Kiefer Quintana,E-59,7,5285,False
PWA,328,887,Marine Hunter,FRA-181,9,4476,False
PWA,328,887,Sol Degrieck,B-5,9,4476,False
PWA,328,887,Julia Pasquale,E-229,9,4476,False
