,source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
175,Live Heats,117331,1883663,293776,937046,1.0,1.0,,,True,0.0,0.0,1.0,1883663_937046
176,Live Heats,117331,1883663,293776,937047,2.0,2.0,,,True,0.0,0.0,2.0,1883663_937047
177,Live Heats,117331,1883663,293776,1166082,3.0,3.0,,,True,0.0,0.0,3.0,1883663_1166082
178,Live Heats,117331,1883663,293776,937048,4.0,4.0,,,True,0.0,0.0,4.0,1883663_937048
179,Live Heats,117331,1883663,293776,937049,5.0,5.0,,,True,0.0,0.0,5.0,1883663_937049
180,Live Heats,117331,1883663,293776,937050,6.0,6.0,,,True,0.0,0.0,6.0,1883663_937050
181,Live Heats,117331,1883663,293776,1065416,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1065416
182,Live Heats,117331,1883663,293776,1076610,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1076610
183,Live Heats,117331,1883663,293776,1076611,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1076611
184,Live Heats,117331,1883662,293777,1167311,1.0,1.0,,,True,0.0,0.0,1.0,1883662_1167311
185,Live Heats,117331,1883662,293777,937113,2.0,2.0,,,True,0.0,0.0,2.0,1883662_937113
186,Live Heats,117331,1883662,293777,923887,3.0,3.0,,,True,0.0,0.0,3.0,1883662_923887
187,Live Heats,117331,1883662,293777,923886,4.0,4.0,,,True,0.0,0.0,4.0,1883662_923886
188,Live Heats,117331,1883662,293777,923888,5.0,5.0,,,True,0.0,0.0,5.0,1883662_923888
189,Live Heats,117331,1883662,293777,937115,6.0,6.0,,,True,0.0,0.0,6.0,1883662_937115
190,Live Heats,117331,1883662,293777,1076608,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076608
191,Live Heats,117331,1883662,293777,1076609,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076609
192,Live Heats,117331,1883662,293777,1076607,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076607
193,Live Heats,117331,1773021,293809,815441,1.0,1.0,,,True,0.0,0.0,1.0,1773021_815441
194,Live Heats,117331,1773021,293809,937178,2.0,2.0,,,True,0.0,0.0,2.0,1773021_937178
195,Live Heats,117331,1773021,293809,937179,3.0,3.0,,,True,0.0,0.0,3.0,1773021_937179
196,Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0,1720244_818679
197,Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0,1720244_818679
198,Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0,1720244_1169635
199,Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0,1720244_1169635
200,Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0,1720244_814748
201,Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0,1720244_814748
202,Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0,1720244_814748
203,Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0,1720244_814748
204,Live Heats,72452,1720245,168196,843691,3.97,3.97,,,,0.0,0.0,12.7,1720245_843691
205,Live Heats,72452,1720245,168196,843691,3.6,3.6,,,,0.0,0.0,12.7,1720245_843691
206,Live Heats,72452,1720245,168196,843691,5.97,5.97,,,True,0.0,0.0,12.7,1720245_843691
207,Live Heats,72452,1720245,168196,843691,6.73,6.73,,,True,0.0,0.0,12.7,1720245_843691
208,Live Heats,72452,1720245,168196,843691,5.4,5.4,,,,0.0,0.0,12.7,1720245_843691
209,Live Heats,72452,1720245,168196,843691,2.0,2.0,,,,0.0,0.0,12.7,1720245_843691
210,Live Heats,72452,1720245,168196,845736,4.6,4.6,,,,0.0,0.0,11.03,1720245_845736
211,Live Heats,72452,1720245,168196,845736,5.23,5.23,,,True,0.0,0.0,11.03,1720245_845736
212,Live Heats,72452,1720245,168196,845736,5.8,5.8,,,True,0.0,0.0,11.03,1720245_845736
213,Live Heats,72452,1720245,168196,845736,4.07,4.07,,,,0.0,0.0,11.03,1720245_845736
214,Live Heats,72452,1720245,168196,527167,4.9,4.9,,,True,0.0,0.0,9.97,1720245_527167
215,Live Heats,72452,1720245,168196,527167,5.07,5.07,,,True,0.0,0.0,9.97,1720245_527167
216,Live Heats,72452,1720245,168196,818180,2.67,2.67,,,True,0.0,0.0,5.699999999999999,1720245_818180
217,Live Heats,72452,1720245,168196,818180,3.03,3.03,,,True,0.0,0.0,5.699999999999999,1720245_818180
218,Live Heats,72452,1720245,168196,818180,1.4,1.4,,,,0.0,0.0,5.699999999999999,1720245_818180
219,Live Heats,72452,1720246,168196,847319,6.27,6.27,,,True,0.0,0.0,12.07,1720246_847319
220,Live Heats,72452,1720246,168196,847319,5.27,5.27,,,,0.0,0.0,12.07,1720246_847319
221,Live Heats,72452,1720246,168196,847319,5.8,5.8,,,True,0.0,0.0,12.07,1720246_847319
222,Live Heats,72452,1720246,168196,847319,2.73,2.73,,,,0.0,0.0,12.07,1720246_847319
223,Live Heats,72452,1720246,168196,847319,4.63,4.63,,,,0.0,0.0,12.07,1720246_847319
224,Live Heats,72452,1720246,168196,847319,1.0,1.0,,,,0.0,0.0,12.07,1720246_847319
225,Live Heats,72452,1720246,168196,817982,5.1,5.1,,,True,0.0,0.0,10.4,1720246_817982
226,Live Heats,72452,1720246,168196,817982,3.2,3.2,,,,0.0,0.0,10.4,1720246_817982
227,Live Heats,72452,1720246,168196,817982,5.3,5.3,,,True,0.0,0.0,10.4,1720246_817982
228,Live Heats,72452,1720246,168196,820094,3.9,3.9,,,,0.0,0.0,8.8,1720246_820094
229,Live Heats,72452,1720246,168196,820094,3.57,3.57,,,,0.0,0.0,8.8,1720246_820094
230,Live Heats,72452,1720246,168196,820094,4.37,4.37,,,True,0.0,0.0,8.8,1720246_820094
231,Live Heats,72452,1720246,168196,820094,3.23,3.23,,,,0.0,0.0,8.8,1720246_820094
232,Live Heats,72452,1720246,168196,820094,4.43,4.43,,,True,0.0,0.0,8.8,1720246_820094
233,Live Heats,72452,1720246,168196,820094,2.0,2.0,,,,0.0,0.0,8.8,1720246_820094
234,Live Heats,72452,1720246,168196,838673,1.0,1.0,,,True,0.0,0.0,1.0,1720246_838673
235,Live Heats,72452,1720247,168196,817949,6.27,6.27,,,,0.0,0.0,14.8,1720247_817949
236,Live Heats,72452,1720247,168196,817949,7.57,7.57,,,True,0.0,0.0,14.8,1720247_817949
237,Live Heats,72452,1720247,168196,817949,7.23,7.23,,,True,0.0,0.0,14.8,1720247_817949
238,Live Heats,72452,1720247,168196,817949,6.9,6.9,,,,0.0,0.0,14.8,1720247_817949
