,source,event_id,division_id,athlete_id,place,incomplete,name
1458,Live Heats,72454,168205,830095,21,False,
1459,Live Heats,72454,168205,769117,21,False,
1460,Live Heats,72454,168206,529331,1,False,
1461,Live Heats,72454,168206,1205855,2,False,
1462,Live Heats,72454,168206,815441,3,False,
1463,Live Heats,72454,168206,1589294,4,False,
1464,Live Heats,72454,168206,820028,5,False,
1465,Live Heats,72454,168206,815310,5,False,
1466,Live Heats,72454,168206,1207521,7,False,
1467,Live Heats,72454,168206,1198791,7,False,
1468,Live Heats,72454,168206,1542069,9,False,
1469,Live Heats,72454,168206,1437408,10,False,
1470,Live Heats,72454,168206,999807,11,False,
1471,Live Heats,72454,168208,1205557,1,False,
1472,Live Heats,72454,168208,1337275,2,False,
1473,Live Heats,72454,168208,1206477,3,False,
1474,Live Heats,72454,168208,1199509,4,False,
1475,Live Heats,72454,168208,813428,5,False,
1476,Live Heats,72454,168208,791455,5,False,
1477,Live Heats,72454,168208,566400,7,False,
1478,Live Heats,72454,168208,1557058,8,False,
1479,Live Heats,72454,168210,1202340,1,False,
1480,Live Heats,72454,168210,1205619,2,False,
1481,Live Heats,72454,168210,1199509,3,False,
1482,Live Heats,72454,168210,791485,4,False,
1483,Live Heats,72454,168210,1206477,5,False,
1484,Live Heats,72454,168210,999815,5,False,
1485,Live Heats,72454,168210,999813,7,False,
1486,Live Heats,72454,168210,999817,7,False,
1487,Live Heats,72454,168210,791455,9,False,
1488,Live Heats,72454,168210,1197966,9,False,
1489,Live Heats,72454,168210,1557058,11,False,
1490,Live Heats,72454,168210,1000711,11,False,
1491,Live Heats,72454,168210,566400,13,False,
1492,Live Heats,72454,310717,1199256,1,True,
1493,Live Heats,72454,310717,1206490,1,True,
1494,Live Heats,72454,310717,1205557,3,True,
1495,Live Heats,72454,310717,769117,3,True,
1496,Live Heats,72454,310717,791485,5,True,
1497,Live Heats,72454,310717,999815,5,True,
1498,Live Heats,72454,310717,999817,7,True,
1499,Live Heats,72454,310717,1197966,7,True,
1500,Live Heats,187562,353289,1166942,1,False,
1501,Live Heats,187562,353289,815310,2,False,
1502,Live Heats,187562,353289,820787,3,False,
